Date,EUR= (BID),EURCNH= (BID),HBEHBEA (TRDPRC_1),HBEHBEAOTC (TRDPRC_1),EURCNY= (BID),
02/11/2004,1.2725,,,,10.5318,
03/11/2004,1.2819,,,,10.6096,
04/11/2004,1.2868,,,,10.6502,
05/11/2004,1.2965,,,,10.7305,
08/11/2004,1.2918,,,,10.6916,
09/11/2004,1.2893,,,,10.6709,
10/11/2004,1.2888,,,,10.6668,
11/11/2004,1.2903,,,,10.6792,
12/11/2004,1.2974,,,,10.7379,
15/11/2004,1.2945,,,,10.7139,
16/11/2004,1.2956,,,,10.723,
17/11/2004,1.3036,,,,10.7892,
18/11/2004,1.2954,,,,10.7214,
19/11/2004,1.3017,,,,10.7735,
22/11/2004,1.3042,,,,10.7942,
23/11/2004,1.308,,,,10.8257,
24/11/2004,1.3174,,,,10.9035,
25/11/2004,1.3244,,,,10.9614,
26/11/2004,1.3289,,,,10.9986,
29/11/2004,1.3271,,,,10.9837,
30/11/2004,1.3291,,,,11.0003,
01/12/2004,1.3327,,,,11.0301,
02/12/2004,1.327,,,,10.9829,
03/12/2004,1.3453,,,,11.1344,
06/12/2004,1.3399,,,,11.0897,
07/12/2004,1.3425,,,,11.1112,
08/12/2004,1.3335,,,,11.0367,
09/12/2004,1.3317,,,,11.0218,
10/12/2004,1.3224,,,,10.9448,
13/12/2004,1.331,,,,11.016,
14/12/2004,1.3302,,,,11.0094,
15/12/2004,1.3382,,,,11.0756,
16/12/2004,1.3242,,,,10.9597,
17/12/2004,1.3307,,,,11.0135,
20/12/2004,1.3391,,,,11.0831,
21/12/2004,1.3369,,,,11.0649,
22/12/2004,1.3385,,,,11.0781,
23/12/2004,1.3508,,,,11.1799,
24/12/2004,1.3528,,,,11.1964,
27/12/2004,1.3614,,,,11.2676,
28/12/2004,1.3608,,,,11.2627,
29/12/2004,1.3603,,,,11.2585,
30/12/2004,1.3635,,,,11.285,
31/12/2004,1.3558,,,,11.2213,
03/1/2005,1.3461,,,,11.141,
04/1/2005,1.327,,,,10.9829,
05/1/2005,1.3259,,,,10.9738,
06/1/2005,1.3167,,,,10.8977,
07/1/2005,1.3053,,,,10.8033,
10/1/2005,1.3083,,,,10.8281,
11/1/2005,1.3112,,,,10.8521,
12/1/2005,1.3263,,,,10.9771,
13/1/2005,1.3217,,,,10.9391,
14/1/2005,1.3103,,,,10.8447,
17/1/2005,1.3062,,,,10.8108,
18/1/2005,1.3026,,,,10.781,
19/1/2005,1.3,,,,10.7595,
20/1/2005,1.2966,,,,10.7313,
21/1/2005,1.3048,,,,10.7992,
24/1/2005,1.3054,,,,10.8041,
25/1/2005,1.2972,,,,10.7363,
26/1/2005,1.3083,,,,10.8281,
27/1/2005,1.3033,,,,10.7868,
28/1/2005,1.3042,,,,10.7942,
31/1/2005,1.3032,,,,10.7859,
01/2/2005,1.3039,,,,10.7917,
02/2/2005,1.3035,,,,10.7884,
03/2/2005,1.2972,,,,10.7363,
04/2/2005,1.2871,,,,10.6527,
07/2/2005,1.2758,,,,10.5592,
08/2/2005,1.2766,,,,10.5658,
09/2/2005,1.2802,,,,10.5956,
10/2/2005,1.2875,,,,10.656,
11/2/2005,1.2863,,,,10.6461,
14/2/2005,1.2961,,,,10.7272,
15/2/2005,1.3018,,,,10.7743,
16/2/2005,1.303,,,,10.7843,
17/2/2005,1.3068,,,,10.8157,
18/2/2005,1.307,,,,10.8174,
21/2/2005,1.3059,,,,10.8083,
22/2/2005,1.3249,,,,10.9655,
23/2/2005,1.3211,,,,10.9341,
24/2/2005,1.3201,,,,10.9258,
25/2/2005,1.3242,,,,10.9597,
28/2/2005,1.3235,,,,10.9539,
01/3/2005,1.3184,,,,10.9117,
02/3/2005,1.313,,,,10.867,
03/3/2005,1.3107,,,,10.848,
04/3/2005,1.3238,,,,10.9564,
07/3/2005,1.3206,,,,10.9299,
08/3/2005,1.3342,,,,11.0425,
09/3/2005,1.3385,,,,11.0781,
10/3/2005,1.3426,,,,11.112,
11/3/2005,1.3453,,,,11.1344,
14/3/2005,1.337,,,,11.0657,
15/3/2005,1.3305,,,,11.0119,
16/3/2005,1.342,,,,11.1071,
17/3/2005,1.3375,,,,11.0698,
18/3/2005,1.3316,,,,11.021,
21/3/2005,1.3171,,,,10.901,
22/3/2005,1.3085,,,,10.8298,
23/3/2005,1.2988,,,,10.7495,
24/3/2005,1.2939,,,,10.709,
25/3/2005,1.2956,,,,10.723,
28/3/2005,1.2887,,,,10.6659,
29/3/2005,1.292,,,,10.6932,
30/3/2005,1.2921,,,,10.6941,
31/3/2005,1.2961,,,,10.7272,
01/4/2005,1.2907,,,,10.6825,
04/4/2005,1.2847,,,,10.6328,
05/4/2005,1.2856,,,,10.6403,
06/4/2005,1.287,,,,10.6519,
07/4/2005,1.2854,,,,10.6386,
08/4/2005,1.2936,,,,10.7065,
11/4/2005,1.2975,,,,10.7388,
12/4/2005,1.2921,,,,10.6941,
13/4/2005,1.2916,,,,10.6899,
14/4/2005,1.2806,,,,10.5989,
15/4/2005,1.2916,,,,10.6899,
18/4/2005,1.3014,,,,10.771,
19/4/2005,1.3056,,,,10.8058,
20/4/2005,1.3084,,,,10.829,
21/4/2005,1.3052,,,,10.8025,
